type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
note,,,note_alters5,Please answer the following questions for ${net_nm5},Repondez les question suivants pour ${net_nm5},"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm5}.",Repondez les question suivants pour ${net_nm5},"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm5}.",,,,,,,,,,,,
select_one yes_no,,,answered_5,Did you already answer questions about this person?,Avez vous déjà répondu à des questions sur ${net_nm5}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm5}?,Avez vous déjà répondu à des questions sur ${net_nm5}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm5}?,,,,,,,,,,,yes,
select_one family_list or_other,1,H.2.2.1,altrel_5,Type of relation:,H.2.2.1 Type de relation:,H.2.2.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,${answered_5}='0',,,,,yes,
select_one yes_no,2,H.2.2.2,samevill_5,Does the person live in this village?,H.2.2.2 Est-ce que ce personne habite dans le village?,H.2.2.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,${answered_5}='0',,,,,yes,
select_multiple official_list,3,H.2.2.3,official_5,Does the person have an official position in the village?,H.2.2.3 Est-ce que ce personne a une position officiel dans ce village?,"H.2.2.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm5} habite.,C'est le village dans lequel ${net_nm5} habite.,,,,,,yes,
integer,4,H.2.2.4,housedist_,Walking distance to his/her house (minutes),H.2.2.4 Distance a sa maison (minutes a pied),H.2.2.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_5}!='0',,,,,yes,
select_one freq_list,5,H.2.2.5,conactfreq_5,Frequency of contact (face-to-face of by phone) in past year:,H.2.2.5 Frequence de contact dans l'année passée:,H.2.2.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,${answered_5}='0',,,,,yes,
select_one yes_no,6,H.2.2.6,samegroup_5,Are you and this person member of the same farmer group or association?,H.2.2.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.2.2.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,${answered_5}='0',,,,,yes,
select_multiple exchange_list,7,H.2.2.7,labeexch_5,With this person have you exchanged labour in the past year?,H.2.2.7 Est-ce que vous avez exchangé travail avec ce personne?,H.2.2.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,${answered_5}='0',,,,,yes,
select_one yes_no,8,H.2.2.8,talkagr_5,Do you ever talk about agriculture with this person?,H.2.2.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.2.2.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,${answered_5}='0',,,,,yes,
select_one yes_no_dk,9,H.2.2.9,talkagrlead_5,Has this person ever been lead farmer?,H.2.2.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.2.2.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${answered_5}='0' and ${talkagr_5}='1',,,,,yes,
select_one yes_no_dk,10,H.2.2.10,talkagrleg_5,Does this person grow legumes?,H.2.2.10 Est-ce que ce personne cultive des legumineux?,"H.2.2.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${answered_5}='0' and ${talkagr_5}='1',,,,,yes,
select_one yes_no_dk,11,H.2.2.11,talkagrimpr_5,Do they use improved seeds for their legumes?,H.2.2.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.2.2.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${answered_5}='0' and ${talkagr_5}='1' and ${talkagrleg_5}='1',,,,,yes,
select_one yes_no_dk,12,H.2.2.12,talkagrinoc_5,Do they use inoculant for their legumes?,H.2.2.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.2.2.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${answered_5}='0' and ${talkagr_5}='1' and ${talkagrleg_5}='1',,,,,yes,
select_one yes_no,13,H.2.2.13,talkagrseeds_5,Do you exchange seeds?,H.2.2.13 Est-ce que vous exchangez des semences avec ce personne?,"H.2.2.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${answered_5}='0' and ${talkagr_5}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,6,,alt_6,${net_nm6},${net_nm6},${net_nm6},${net_nm6},${net_nm6},,,,,,${net_exist_nm6}=1,,,,,,
note,,,note_alters6,Please answer the following questions for ${net_nm6},Repondez les question suivants pour ${net_nm6},"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm6}.",Repondez les question suivants pour ${net_nm6},"Tafazali, jibiya kwa ulizo zifwatayo kwa ${net_nm6}.",,,,,,,,,,,,
select_one yes_no,,,answered_6,Did you already answer questions about this person?,Avez vous déjà répondu à des questions sur ${net_nm6}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm6}?,Avez vous déjà répondu à des questions sur ${net_nm6}?,Je! tayari umekwisha jibu maswali kuhusu ${net_nm6}?,,,,,,,,,,,yes,
select_one family_list or_other,1,H.2.3.1,altrel_6,Type of relation:,H.2.3.1 Type de relation:,H.2.3.1 Muna uhusiano gani:,Type de relation:,Muna uhusiano gani:,,,,,,${answered_6}='0',,,,,yes,
select_one yes_no,2,H.2.3.2,samevill_6,Does the person live in this village?,H.2.3.2 Est-ce que ce personne habite dans le village?,H.2.3.2 Mutu uyo anaishi kijijini?,Est-ce que ce personne habite dans le village?,Mutu uyo anaishi kijijini?,,,,,,${answered_6}='0',,,,,yes,
select_multiple official_list,3,H.2.3.3,official_6,Does the person have an official position in the village?,H.2.3.3 Est-ce que ce personne a une position officiel dans ce village?,"H.2.3.3 Je, mtu huyu ana madaraka gani kati ka kijiji?",Est-ce que ce personne a une position officiel dans ce village?,"Je, mtu huyu ana madaraka gani kati ka kijiji?",,,,C'est le village dans lequel ${net_nm6} habite.,C'est le village dans lequel ${net_nm6} habite.,,,,,,yes,
integer,4,H.2.3.4,housedist_,Walking distance to his/her house (minutes),H.2.3.4 Distance a sa maison (minutes a pied),H.2.3.4 Dakika ngapi kufika nyumbani kwake kwa muguu?,Distance a sa maison (minutes a pied),Dakika ngapi kufika nyumbani kwake kwa muguu?,,,,,,${samevill_6}!='0',,,,,yes,
select_one freq_list,5,H.2.3.5,conactfreq_6,Frequency of contact (face-to-face of by phone) in past year:,H.2.3.5 Frequence de contact dans l'année passée:,H.2.3.5 Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,Frequence de contact dans l'année passée:,Mulikutana uso kwa uso ao kuitana mara ngapi kwa mwaka uliyo pita?,,,,,,${answered_6}='0',,,,,yes,
select_one yes_no,6,H.2.3.6,samegroup_6,Are you and this person member of the same farmer group or association?,H.2.3.6 Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,H.2.3.6 Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,Est-ce que vous et ce personne sont membres dans la même group d'agriculteurs ou cooperative?,Je! wewe na mutu uyo muko wanamemba wa chama moja cha wakulima ao ingine chama?,,,,,,${answered_6}='0',,,,,yes,
select_multiple exchange_list,7,H.2.3.7,labeexch_6,With this person have you exchanged labour in the past year?,H.2.3.7 Est-ce que vous avez exchangé travail avec ce personne?,H.2.3.7 Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,Est-ce que vous avez exchangé travail avec ce personne?,Je! wewe na mtu huyo muliwahi kusaidiana kazi katika shamba zenu?,,,,,,${answered_6}='0',,,,,yes,
select_one yes_no,8,H.2.3.8,talkagr_6,Do you ever talk about agriculture with this person?,H.2.3.8 Est-ce que vous parlez sur l'agriculture avec ce personne?,"H.2.3.8 Je, munazungumuza mambo ya mulimo na mtu huyo?",Est-ce que vous parlez sur l'agriculture avec ce personne?,"Je, munazungumuza mambo ya mulimo na mtu huyo?",,,,,,${answered_6}='0',,,,,yes,
select_one yes_no_dk,9,H.2.3.9,talkagrlead_6,Has this person ever been lead farmer?,H.2.3.9 Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"H.2.3.9 Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",Est-ce que ce personne a été beneficiare d'un ONG pour ameliorer sa production?,"Je, mtu huyu aliweza kupata musada ya kuzidisha mimea ku kushamba kutoka kwenye maa ONG?",,,,,,${answered_6}='0' and ${talkagr_6}='1',,,,,yes,
select_one yes_no_dk,10,H.2.3.10,talkagrleg_6,Does this person grow legumes?,H.2.3.10 Est-ce que ce personne cultive des legumineux?,"H.2.3.10 Je, mtu huyu anatumikisha mboga ya majani?",Est-ce que ce personne cultive des legumineux?,"Je, mtu huyu anatumikisha mboga ya majani?",,,,,,${answered_6}='0' and ${talkagr_6}='1',,,,,yes,
select_one yes_no_dk,11,H.2.3.11,talkagrimpr_6,Do they use improved seeds for their legumes?,H.2.3.11 Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"H.2.3.11 Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",Est-ce que ce personne uitilise semences ameliorés pour ses leguminuex?,"Je, mtu huyu anatumukisha mbegu ya sasa ku mulimo ya maharagi na soja (legumineux)?",,,,,,${answered_6}='0' and ${talkagr_6}='1' and ${talkagrleg_6}='1',,,,,yes,
select_one yes_no_dk,12,H.2.3.12,talkagrinoc_6,Do they use inoculant for their legumes?,H.2.3.12 Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"H.2.3.12 Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",Est-ce que ce personne uitilise inoculum pour ses leguminuex?,"Je, mtu huyu anatumikisha inoculum kawa maharagi na soja?",,,,,,${answered_6}='0' and ${talkagr_6}='1' and ${talkagrleg_6}='1',,,,,yes,
select_one yes_no,13,H.2.3.13,talkagrseeds_6,Do you exchange seeds?,H.2.3.13 Est-ce que vous exchangez des semences avec ce personne?,"H.2.3.13 Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",Est-ce que vous exchangez des semences avec ce personne?,"Je, munakuwa munabadilishana mbegu ya shamba na mtu huyu?",,,,,,${answered_6}='0' and ${talkagr_6}='1',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
end group,,,,Social network,,,,,,,,,,,,,,,,
begin group,I,Section I: ,i_,Govenance and collective action,Section I:  Gouvernance et action collective,Section I:  Uwongozi na kazi ya wote,Gouvernance et action collective,Uwongozi na kazi ya wote,,,,,,,,,,,,
note,,,govnote,"Now let's talk about some other stuff, then we're done","Maintenant, je vais poser quelques questions sur les associations et gouvernance dans votre village. Après, c'est la fin de l'entretien,en nous allons faire des autres activités",Sasa ninataka kukuhuliza maswali kuhusu shirika na uwongozi ndani ya kijiji. Kisha itakuwa mwisho ya mazungumuzo badaye tutafanya ingine mashuhuli.,"Maintenant, je vais poser quelques questions sur les associations et gouvernance dans votre village. Après, c'est la fin de l'entretien,en nous allons faire des autres activités",Sasa ninataka kukuhuliza maswali kuhusu shirika na uwongozi ndani ya kijiji. Kisha itakuwa mwisho ya mazungumuzo badaye tutafanya ingine mashuhuli.,,,,,,,,,,,,
select_multiple household_list,1,I.1,mem_agrcoop,Which member of the household is member of an Agricultural Cooperative,I.1 Quel membre de ménage fait partie d'une Cooperative Agricole?,I.1 Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la walimaji?,Quel membre de ménage fait partie d'une Cooperative Agricole?,Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la walimaji?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,2,I.2,mem_commcoop,Which member of the household is member of an Commerical Cooperative,I.2 Quel membre de ménage fait partie d'une Cooperative Commercial?,I.2 Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la uchuruzi?,Quel membre de ménage fait partie d'une Cooperative Commercial?,Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la uchuruzi?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,3,I.3,mem_coopec,Which member of the household is member of an COOPEC Cooperative,I.3 Quel membre de ménage fait partie d'une COOPEC?,I.3 Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la akiba na mkopo?,Quel membre de ménage fait partie d'une COOPEC?,Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la akiba na mkopo?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,4,I.4,mem_mincoop,Which member of the household is member of an Mining Cooperative,I.4 Quel membre de ménage fait partie d'une Cooperative Minière?,I.4 Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la madini?,Quel membre de ménage fait partie d'une Cooperative Minière?,Ni mwanamemba gani nyumbani mwako humu anashiriki shirika la madini?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,5,I.5,mem_cld,Which member of the household is member of a Local Development Committee?,I.5 Quel membre de ménage fait partie d'une Commité locale de developpement?,I.5 Ni mwanamemba gani nyumbani mwako humu anapatikana ndani ya kamati ya maendeleo kijiiji hapa?,Quel membre de ménage fait partie d'une Commité locale de developpement?,Ni mwanamemba gani nyumbani mwako humu anapatikana ndani ya kamati ya maendeleo kijiiji hapa?,,,,,,,,,,,,
select_multiple household_list,6,I.6,mem_womgr,Which member of the household is member of a women's group?,I.6 Quel membre de ménage fait partie d'un groupe de femmes?,I.6 Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha wanawake?,Quel membre de ménage fait partie d'un groupe de femmes?,Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha wanawake?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,7,I.7,mem_youthgr,Which member of the household is member of a youth group?,I.7 Quel membre de ménage fait partie d'un groupe de jeunesse?,I.7 Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha vijana?,Quel membre de ménage fait partie d'un groupe de jeunesse?,Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha vijana?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,8,I.8,mem_religr,Which member of the household is member of a religieux group?,I.8 Quel membre de ménage fait partie d'un group religieux?,I.8 Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha sala?,Quel membre de ménage fait partie d'un group religieux?,Ni mwanamemba gani nyumbani mwako humu anashiriki kikundi cha sala?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
select_multiple household_list,9,I.9,mem_poligr,Which member of the household is member of a political organisation?,I.9 Quel membre de ménage fait partie d'un group politique?,I.9 Ni mwanamemba gani nyumbani mwako humu anashiriki chama cha siasa?,Quel membre de ménage fait partie d'un group politique?,Ni mwanamemba gani nyumbani mwako humu anashiriki chama cha siasa?,,,"If no one is member, leave empty","Si personne n'est membre, laissze vide",,,,,,,,
note,16,I.16,soccapnote,Please indicate the extent to which you agree with the following statements,I.16 Indiquez combien vous etes d'accord avec les propositions suivantes,I.16 Mara ngapi unakubaliana na mawazo (propositions) zifatazo?,Indiquez combien vous etes d'accord avec les propositions suivantes,Mara ngapi unakubaliana na mawazo (propositions) zifatazo?,,,,,,,,,,,,
select_one agree_list,17,I.17,res_chef,I have a lot of respect for our village chief,I.17 J'ai beaucoup de respect envers notre chef de village.,I.17 Nina heshima mingi kwa mkubwa wetu wa kijiji.,J'ai beaucoup de respect envers notre chef de village.,Nina heshima mingi kwa mkubwa wetu wa kijiji.,,,,,,,,,,,yes,
select_one agree_list,18,I.18,help_chef,I can turn to our village chief if I need help,"I.18 En cas de problèmes, je peux m’adresser à notre chef de village.",I.18 Wakati wa shida ninaweza kukimbilia mkubwa wetu wa kijiji.,"En cas de problèmes, je peux m’adresser à notre chef de village.",Wakati wa shida ninaweza kukimbilia mkubwa wetu wa kijiji.,,,,,,,,,,,yes,
select_one agree_list,19,I.19,int_chef,Our village chief can act in my interest,I.19 Notre chef de village peut agir dans mon intérêt.,I.19 Mkubwa wetu wa kijiji anaweza kufanya kazi kwa faida yangu.,Notre chef de village peut agir dans mon intérêt.,Mkubwa wetu wa kijiji anaweza kufanya kazi kwa faida yangu.,,,,,,,,,,,yes,
select_one agree_list,20,I.20,res_mwa,I have a lot of respect for our mwami,I.20 J'ai beaucoup de respect envers notre mwami.,I.20 Nina heshima mingi kwa mwami wetu.,J'ai beaucoup de respect envers notre mwami.,Nina heshima mingi kwa mwami wetu.,,,,,,,,,,,yes,
select_one agree_list,21,I.21,help_mwa,I can turn to our mwami if I need help,"I.21 En cas de problèmes, je peux m’adresser à notre mwami.",I.21 Wakati wa shida ninaweza kukimbilia mwami wetu.,"En cas de problèmes, je peux m’adresser à notre mwami.",Wakati wa shida ninaweza kukimbilia mwami wetu.,,,,,,,,,,,yes,
select_one agree_list,22,I.22,int_mwa,Our mwami can act in my interest,I.22 Notre mwami peut agir dans mon intérêt.,I.22 Mwami wetu anaweza kufanya kazi kwa faida yangu.,Notre mwami peut agir dans mon intérêt.,Mwami wetu anaweza kufanya kazi kwa faida yangu.,,,,,,,,,,,yes,
